"","date","tradevalMTUM","tradevalQUAL","tradevalVLUE","tradevalSIZE","tradevalUSMV","tradevalSPY"
"187",2014-12-30,14377655.82,2144672.75,170692.07,814212.33,31172728.78,15291038698.53
"188",2014-12-31,1778062.45,1901501.02,1365153.66,1107044.86,16866479.98,26958401680.94
"189",2015-01-02,920933.69,1847307.83,18309.23,65145.92,24422875.34,24947362033.73
"190",2015-01-06,4917558.96,1633503.75,61664.77,67164.24,43938967.42,41954248358.49
"191",2015-01-07,13045779.2,1137874.99,112022.04,1345912.89,27767293.74,25308387124.37
"192",2015-01-08,7509767.65,31953753.16,72288511.08,198400.54,30103928.07,30247503254.83
"193",2015-01-09,3224299.34,4250282.34,172499.58,1079562.36,35210470.14,32435319321.89
"194",2015-01-12,2859694.4,2584373.03,153476.36,96037.47,23038336.93,29270468116.77
"195",2015-01-13,3098530.09,33215834.18,72247953.15,50593.6,74315712.26,43528053142.19
"196",2015-01-14,4818902.7,3109481.62,204497.42,436795.43,33692608.9,38623316891.51
"197",2015-01-15,2980017.26,5624246.45,25316,1262978.04,56018477.84,35315317143.1
"198",2015-01-16,2501774.4,1988087.08,360045.59,34129.87,41101412.12,42460104580.9
"199",2015-01-20,6307618.51,16729760.85,74195.34,138687.76,36522392.56,26384975888.52
"200",2015-01-21,1906273.2,2253735.6,176600.65,120085.3,57645982.96,24908102935.91
"201",2015-01-22,15542165.73,15608545.23,13712425.4,12702902.95,44569166.35,35696377265.68
"202",2015-01-23,2820776.61,2148576.42,114625.26,102674.25,61930927.42,24149075073.45
"203",2015-01-26,2790856,1649263.28,31492.94,218146.31,32201906.93,18855598748.37
"204",2015-01-27,2126602.73,103022855.16,61235.17,187596.52,308812395.83,27200646439.5
"205",2015-01-28,3341945.32,4363940,429915.78,44048.32,66417197.8,34064589829.68
"206",2015-01-29,4198768.14,1597656.4,888776.65,271366.59,61264027.14,34769914308.7
"207",2015-01-30,2134441.18,2645240.67,21771.76,76276.83,60729536.82,39650934340.2
"208",2015-02-02,5333576.89,6532753.58,34551.7,212941.3,50065953.63,32600074251.19
"209",2015-02-03,3620693.84,2518315.35,491059.48,1983795.69,37292858.92,25310310734.14
"210",2015-02-04,3324581.16,6224362.82,1801897.1,141846.19,90292974.45,27447328540.4
"211",2015-02-05,8547380.55,2443723.4,219365.8,484991.83,71316995.02,20150031731.9
"212",2015-02-06,1483414.43,1797606.07,38521.17,9924.18,41202956.52,25915783337.51
"213",2015-02-10,1834085.26,5115553.45,403149.6,31579.39,49476215.2,19808860536.99
"214",2015-02-11,5903022.46,6561341.94,241493.98,61935.65,33078908.13,18825148414.54
"215",2015-02-12,2879755.55,3821374.67,28714.74,336656.16,27289156.78,20333608069.56
"216",2015-02-13,1512130.76,3671750.59,27378.11,157423.43,31745556.74,19612349506.06
"217",2015-02-17,1167629.53,11936880.85,60979.15,48715.05,88933765.89,16146904011.34
"218",2015-02-18,1712596.65,1591234.55,95315.15,39630.58,57610119.59,16922018089
"219",2015-02-20,2390412.36,1813501.55,173510.74,29789.57,34766572.94,29625221282.56
"220",2015-02-23,1475587.54,2218443.66,24644.05,31428.1,37258585.08,15694264585.19
"221",2015-02-24,6593465.36,2026298.05,50645.81,440083.6,35608359.39,15331420850.71
"222",2015-02-25,1965479.03,1641922.6,375877,185670.59,29219223,15464756796.57
"223",2015-03-02,2836540.32,2076892.68,70978.45,81126.88,80932677.23,18512418340.03
"224",2015-03-03,3969026.21,5977159.19,539277.53,122139.81,55107933.62,23266473607.64
"225",2015-03-04,2301000.79,3308849.22,46222.95,123845.82,73978391.72,24036529249.28
"226",2015-03-05,2085515.28,2352386.63,91730.41,587156.63,34655315.21,16177471473.66
"227",2015-03-06,2557392.82,3287317.8,454534.56,52415.71,40880092.6,39174402904.99
"228",2015-03-09,1721031.16,18621191.46,9874665.29,28697.76,24051766.14,18702276903.4
"229",2015-03-10,2485621.28,2507600.61,238223.16,198821.91,92745700.26,32322934688.59
"230",2015-03-11,2433003.03,1811209.42,166527.57,207163.92,50785734.9,22572513354.58
"231",2015-03-12,2152563.84,1671298.88,89230.77,30657.08,35554486.72,19411474506.64
"232",2015-03-13,1092869.69,1569134.47,749963.95,146753.42,29253491.32,33378633621
"233",2015-03-16,1350999.49,2115958.59,153812.48,88041.36,22184088.2,28303221176.52
"234",2015-03-17,1423736.2,2781159.93,233092.05,100699.2,31858107.63,19634619181.21
"235",2015-03-18,1592137.57,2287351.91,46831.33,929670.81,23652686.88,47874805746.76
"236",2015-03-19,1055449.03,3188815.13,972160.29,129629.91,38163431.94,24718328823.79
"237",2015-03-20,1515920.84,2137689.43,273372.94,113576.04,30619046.12,37399394703.41
"238",2015-03-23,2715299.82,1113347.92,119219.4,1968866.74,26706847.15,15116372659.7
"239",2015-03-24,1908382.89,1058781.26,170455.31,328312.84,50197871.07,16302258306.26
"240",2015-03-25,1877573.9,1629648.17,93483.78,52974.93,33891578.73,33040945893.15
"241",2015-03-26,1760953.29,55691576.83,537339.33,154781.64,28535963.3,31422716233.84
"242",2015-03-27,1677469.15,6005342.77,70104.53,84736.67,20288697.08,24450572975.94
"243",2015-03-30,1701593.81,2569295.49,552847.54,57009.17,36042637.35,20009513560.69
"244",2015-04-01,5359875.53,5355620.55,1152740.16,1429277.44,49634795.61,28202135558.06
"245",2015-04-02,969985.76,3228648.75,53950.09,2299376.83,20308933.89,17936302418.24
"246",2015-04-06,1796265.04,2208329.62,94454.55,204524.06,26252542.25,23734077755.52
"247",2015-04-07,5787271.53,2344125.1,263700.09,67161.01,66907943.99,16910118297.5
"248",2015-04-08,1296618.99,1857137.98,707556.61,14082.62,33271789.41,18574753781.44
"249",2015-04-09,1117696.34,2630236.64,106059.95,182446.72,100438385.49,17817486270.4
"250",2015-04-10,3919056.76,1165657.99,75246.07,448947.77,47986203.26,15251155860.5
"251",2015-04-13,2641453.83,1718661.66,151568.57,932095.58,99270060.32,15618561121.86
"252",2015-04-14,8542956.92,4917551.63,104138.93,114674.82,55522439.81,15701550069.57
"253",2015-04-16,7850729.2,13955158.67,7618992.78,59498.93,40541878.39,14500007252.47
