"date","changepMTUM","changepMTUM & changepQUAL","changepMTUM & changepVLUE","changepMTUM & changepSIZE","changepMTUM & changepUSMV","changepMTUM & changepSPY","changepQUAL","changepQUAL & changepVLUE","changepQUAL & changepSIZE","changepQUAL & changepUSMV","changepQUAL & changepSPY","changepVLUE","changepVLUE & changepSIZE","changepVLUE & changepUSMV","changepVLUE & changepSPY","changepSIZE","changepSIZE & changepUSMV","changepSIZE & changepSPY","changepUSMV","changepUSMV & changepSPY","changepSPY"
2017-11-20,2.76264761904762e-05,1.24706428571429e-05,1.8488e-05,9.84390476190476e-06,9.85311904761905e-06,1.78294285714286e-05,9.02714285714286e-06,1.176e-05,7.12757142857143e-06,7.63528571428572e-06,9.96042857142857e-06,2.0509e-05,1.0679e-05,7.929e-06,1.4567e-05,8.28061904761905e-06,6.06247619047619e-06,8.24171428571429e-06,1.07149047619048e-05,8.80035714285714e-06,1.42702857142857e-05
2017-11-21,2.54763333333333e-05,1.24138333333333e-05,1.73441666666667e-05,8.41333333333333e-06,1.01085e-05,1.75566666666667e-05,9.83261904761905e-06,1.1930880952381e-05,6.92147619047619e-06,8.53028571428571e-06,1.07108095238095e-05,1.9950619047619e-05,9.87602380952381e-06,8.28621428571429e-06,1.46106904761905e-05,7.36390476190476e-06,6.04714285714286e-06,7.9022380952381e-06,1.16622857142857e-05,9.66664285714286e-06,1.49469047619048e-05
2017-11-22,2.63801428571429e-05,1.27758571428571e-05,1.73174285714286e-05,8.56692857142857e-06,1.08215714285714e-05,1.71935714285714e-05,9.95714285714286e-06,1.18765714285714e-05,6.95307142857143e-06,8.85142857142857e-06,1.04159285714286e-05,1.9858619047619e-05,9.80778571428571e-06,8.34071428571429e-06,1.4303380952381e-05,7.34628571428571e-06,6.22021428571429e-06,7.62221428571429e-06,1.21632857142857e-05,9.63928571428572e-06,1.4002619047619e-05
2017-11-24,2.54229047619048e-05,1.28654047619048e-05,1.65568095238095e-05,8.7107619047619e-06,1.15140476190476e-05,1.70249285714286e-05,1.00079047619048e-05,1.18738095238095e-05,6.98526190476191e-06,8.90254761904762e-06,1.05049285714286e-05,1.9346619047619e-05,9.86502380952381e-06,8.74609523809524e-06,1.40778571428571e-05,7.35990476190476e-06,6.20561904761905e-06,7.70407142857143e-06,1.18894761904762e-05,9.90478571428571e-06,1.40635714285714e-05
2017-11-27,2.3308619047619e-05,1.17277857142857e-05,1.45134761904762e-05,6.86266666666667e-06,1.05014285714286e-05,1.50956428571429e-05,9.42228571428571e-06,1.07231428571429e-05,6.1035e-06,8.45142857142857e-06,9.51714285714286e-06,1.74709047619048e-05,7.86116666666667e-06,7.58621428571429e-06,1.21160714285714e-05,6.22333333333333e-06,5.719e-06,6.2315e-06,1.17361428571429e-05,9.15871428571429e-06,1.23985714285714e-05
2017-11-28,2.88949047619048e-05,1.68853095238095e-05,2.01822380952381e-05,1.16539047619048e-05,1.39212380952381e-05,1.97644047619048e-05,1.4175619047619e-05,1.59494761904762e-05,1.04913095238095e-05,1.16239761904762e-05,1.38298095238095e-05,2.32169047619048e-05,1.26917380952381e-05,1.10699047619048e-05,1.68557380952381e-05,1.01799047619048e-05,8.71723809523809e-06,1.02454047619048e-05,1.38019047619048e-05,1.20127380952381e-05,1.62999047619048e-05
2017-11-29,2.52365714285714e-05,1.60684285714286e-05,1.84605e-05,1.14160714285714e-05,1.18536428571429e-05,1.66279285714286e-05,1.41239047619048e-05,1.60208333333333e-05,1.06767619047619e-05,1.14503571428571e-05,1.33745714285714e-05,2.39963333333333e-05,1.34118333333333e-05,1.11015e-05,1.62345e-05,1.05999047619048e-05,9.10864285714286e-06,1.04889285714286e-05,1.32682857142857e-05,1.07803571428571e-05,1.40705714285714e-05
2017-11-30,2.78734761904762e-05,1.75944761904762e-05,1.89216904761905e-05,1.1892619047619e-05,1.25525238095238e-05,1.86934047619048e-05,1.47924761904762e-05,1.58776904761905e-05,1.0456619047619e-05,1.13260238095238e-05,1.44069047619048e-05,2.32934761904762e-05,1.25475476190476e-05,1.02133095238095e-05,1.62842619047619e-05,9.53990476190476e-06,8.01288095238095e-06,1.04854761904762e-05,1.21504761904762e-05,1.09260952380952e-05,1.5564619047619e-05
2017-12-01,3.07002857142857e-05,1.81527857142857e-05,2.0662e-05,1.30163571428571e-05,1.35514285714286e-05,2.00883571428571e-05,1.48462857142857e-05,1.61595e-05,1.06768571428571e-05,1.14674285714286e-05,1.46513571428571e-05,2.4297e-05,1.32375e-05,1.0767e-05,1.7109e-05,9.98657142857143e-06,8.40828571428571e-06,1.10390714285714e-05,1.24481428571429e-05,1.13882857142857e-05,1.62359047619048e-05
2017-12-04,3.93719047619048e-05,1.86449047619048e-05,1.89478571428571e-05,1.19909523809524e-05,1.5941619047619e-05,2.18445714285714e-05,1.48239047619048e-05,1.60773571428571e-05,1.05364523809524e-05,1.1523619047619e-05,1.47775714285714e-05,2.46312857142857e-05,1.34649285714286e-05,1.03184285714286e-05,1.67538571428571e-05,9.97347619047619e-06,7.99580952380952e-06,1.08747857142857e-05,1.29814761904762e-05,1.19142857142857e-05,1.65775714285714e-05
2017-12-05,3.89589047619048e-05,1.89370952380952e-05,1.95671904761905e-05,1.30230952380952e-05,1.61202380952381e-05,2.23771666666667e-05,1.57089047619048e-05,1.77013095238095e-05,1.24984047619048e-05,1.24687619047619e-05,1.58148333333333e-05,2.7597619047619e-05,1.70023095238095e-05,1.20745238095238e-05,1.86261666666667e-05,1.40329047619048e-05,1.01917619047619e-05,1.30308333333333e-05,1.39559047619048e-05,1.30718333333333e-05,1.77223333333333e-05
2017-12-06,3.81343333333333e-05,1.86673333333333e-05,1.9005e-05,1.26856666666667e-05,1.60846666666667e-05,2.18001666666667e-05,1.59134761904762e-05,1.81084285714286e-05,1.27728095238095e-05,1.25115238095238e-05,1.58680952380952e-05,2.84072857142857e-05,1.75489285714286e-05,1.21600714285714e-05,1.87212857142857e-05,1.44004761904762e-05,1.02486904761905e-05,1.31127619047619e-05,1.39644761904762e-05,1.30919047619048e-05,1.7518619047619e-05
2017-12-07,3.9882e-05,1.9411e-05,1.9721e-05,1.3407e-05,1.61795e-05,2.24195e-05,1.6210619047619e-05,1.8413380952381e-05,1.30993333333333e-05,1.24531428571429e-05,1.6133e-05,2.8700619047619e-05,1.78441666666667e-05,1.22003571428571e-05,1.8975e-05,1.46783333333333e-05,1.0388e-05,1.3367e-05,1.34645714285714e-05,1.31325e-05,1.7738e-05
2017-12-08,4.04412857142857e-05,1.95573571428571e-05,2.02647142857143e-05,1.34970714285714e-05,1.74419285714286e-05,2.31200714285714e-05,1.61409047619048e-05,1.84951428571429e-05,1.3026880952381e-05,1.3341119047619e-05,1.64490476190476e-05,2.91952857142857e-05,1.78779285714286e-05,1.37400714285714e-05,1.97304285714286e-05,1.46074761904762e-05,1.10870238095238e-05,1.35978095238095e-05,1.34354761904762e-05,1.40286904761905e-05,1.84524761904762e-05
2017-12-11,4.03209047619048e-05,1.96917857142857e-05,2.02990476190476e-05,1.35475952380952e-05,1.75660238095238e-05,2.31450714285714e-05,1.59911428571429e-05,1.84688571428571e-05,1.29687142857143e-05,1.32019285714286e-05,1.64277857142857e-05,2.95964761904762e-05,1.78039523809524e-05,1.36837380952381e-05,1.99502142857143e-05,1.45949047619048e-05,1.10379761904762e-05,1.35544285714286e-05,1.3308619047619e-05,1.39913571428571e-05,1.85725714285714e-05
