date,SPY,EFA,VOO,IVV,TLT,TIP,IVE,XLE,XLI,XLK,XLF
2017-07-06,-0.0091,-0.0045000000000000005,-0.009000000000000001,-0.009000000000000001,-0.0083,-0.0026,-0.009000000000000001,-0.0111,-0.0087,-0.0091,-0.0076
2017-07-05,0.0023,0.0,0.0018,0.0021,0.0002,0.0015,-0.0021,-0.0203,0.0029,0.009899999999999999,0.0016
2017-07-03,0.0017000000000000001,-0.0012,0.0022,0.0019,-0.0032,-0.0018,0.008,0.019299999999999998,0.0062,-0.0069,0.0146
2017-06-30,0.0019,0.0006,0.0017000000000000001,0.0016,-0.0023,-0.0014000000000000002,0.0012,0.0045000000000000005,0.0083,-0.0009,-0.0008
2017-06-29,-0.0088,-0.009899999999999999,-0.0086,-0.0084,-0.0084,-0.0039000000000000003,-0.0032,0.0022,-0.0085,-0.0179,0.0069
2017-06-28,0.009000000000000001,0.0087,0.0088,0.0085,-0.0033,0.0008,0.008,0.0055000000000000005,0.009000000000000001,0.0125,0.015700000000000002
2017-06-27,-0.008100000000000001,-0.0002,-0.008,-0.0075,-0.010700000000000001,-0.004699999999999999,-0.0039000000000000003,-0.0016,-0.0075,-0.016399999999999998,0.005
2017-06-26,0.0007000000000000001,0.0017000000000000001,0.0003,0.0006,0.0038,0.0016,0.0034999999999999996,-0.0022,0.0003,-0.0053,0.0054
2017-06-23,0.0012,0.0025,0.0017000000000000001,0.001,-0.0005,0.0008,-0.0007000000000000001,0.0067,0.0037,0.0063,-0.0038
2017-06-22,-0.0005,-0.0002,-0.0006,-0.0003,0.0022,0.0032,-0.001,-0.0006,-0.0021,0.0004,-0.0062
2017-06-21,-0.0002,-0.0012,-0.0004,-0.0004,0.002,0.0016,-0.0048,-0.0161,-0.0067,0.005600000000000001,-0.008199999999999999
2017-06-20,-0.0067,-0.008100000000000001,-0.0066,-0.006500000000000001,0.009000000000000001,0.0011,-0.006500000000000001,-0.0128,-0.010700000000000001,-0.008,-0.0086
2017-06-19,0.0083,0.0040999999999999995,0.008199999999999999,0.009000000000000001,-0.0014000000000000002,-0.0011,0.0053,-0.0063,0.0060999999999999995,0.0148,0.0103
2017-06-16,0.0002,0.0085,0.0003,-0.0008,0.002,0.0009,-0.0005,0.0165,0.0033,-0.0017000000000000001,-0.0011
2017-06-15,-0.0019,-0.0104,-0.002,-0.0019,-0.0016,-0.0049,-0.002,-0.0076,0.006,-0.0045000000000000005,-0.0040999999999999995
2017-06-14,-0.0013,-0.0008,-0.0011,-0.0011,0.0154,0.0002,-0.0008,-0.0181,-0.001,-0.0048,0.0016
2017-06-13,0.0049,0.0077,0.0049,0.0049,0.0002,0.0017000000000000001,0.0029,0.0075,0.0040999999999999995,0.0072,0.0053
2017-06-12,-0.0002,-0.0038,-0.0004,-0.0001,-0.0003,-0.0021,0.0027,0.0070999999999999995,0.0037,-0.0059,0.0021
2017-06-09,-0.0015,-0.0038,-0.0012,-0.0015,-0.0015,-0.0009,0.009399999999999999,0.0241,0.0038,-0.024700000000000003,0.0189
2017-06-08,0.0005,-0.0018,0.0004,0.0003,-0.0026,-0.001,0.0025,-0.0029,0.0033,0.0023,0.0115
2017-06-07,0.0019,0.0003,0.0017000000000000001,0.0016,-0.0048,-0.0024,0.0012,-0.0141,-0.0012,0.0032,0.0077
2017-06-06,-0.0032,-0.0028000000000000004,-0.0029,-0.0027,0.0054,0.0011,-0.0025,0.0118,-0.0068000000000000005,-0.0019,-0.0043
2017-06-05,-0.0007000000000000001,-0.0055000000000000005,-0.0007000000000000001,-0.0007000000000000001,-0.0062,-0.0026,-0.001,0.0018,-0.0034999999999999996,0.0009,0.0017000000000000001
2017-06-02,0.0033,0.011000000000000001,0.0031,0.0032,0.0118,0.004,-0.0008,-0.0115,0.004,0.0092,-0.0038
2017-06-01,0.008,0.006500000000000001,0.0078000000000000005,0.008199999999999999,0.0001,-0.0005,0.0097,0.0063,0.0062,0.0025,0.0125
2017-05-31,-0.0002,0.0012,-0.0002,-0.0007000000000000001,0.0025,0.0003,-0.0017000000000000001,-0.0043,0.0019,-0.0016,-0.0085
2017-05-30,-0.0009,-0.0011,-0.0009,-0.0006,0.0049,0.0022,-0.002,-0.0134,-0.0003,0.0043,-0.0068000000000000005
2017-05-26,-0.0002,-0.0029,0.0,-0.0002,0.0017000000000000001,0.0024,0.0,0.0017000000000000001,0.0012,-0.0005,-0.0004
2017-05-25,0.0048,0.0,0.004699999999999999,0.004699999999999999,0.0003,-0.0016,0.0013,-0.0182,0.0066,0.0070999999999999995,0.0017000000000000001
2017-05-24,0.0023,0.0006,0.0024,0.0025,0.005600000000000001,0.0006,0.0007000000000000001,-0.0053,0.0012,0.0040999999999999995,-0.0004
2017-05-23,0.0022,0.0002,0.002,0.0022,-0.0067,-0.0015,0.0034999999999999996,0.0024,0.0021,0.0018,0.0077
2017-05-22,0.0051,0.0012,0.005600000000000001,0.0048,-0.0027,-0.0016,0.004,-0.0022,0.0077,0.008,0.0026
2017-05-19,0.006500000000000001,0.0116,0.0062,0.006999999999999999,0.0023,0.0017000000000000001,0.0076,0.0123,0.0132,0.0058,0.0086
2017-05-18,0.004,0.0017000000000000001,0.0036,0.0036,0.0011,0.0016,0.0008,-0.0003,0.0014000000000000002,0.0059,0.0039000000000000003
2017-05-17,-0.0177,-0.011399999999999999,-0.0177,-0.0176,0.0146,0.0058,-0.0173,-0.009899999999999999,-0.02,-0.0273,-0.0315
2017-05-16,-0.0009,0.0064,-0.0002,-0.0008,0.0037,0.0007000000000000001,-0.0022,-0.005,-0.0011,0.004699999999999999,0.0029
2017-05-15,0.0055000000000000005,0.0051,0.0051,0.0051,-0.0027,-0.0026,0.0058,0.0078000000000000005,0.004699999999999999,0.005600000000000001,0.0076
2017-05-12,-0.0017000000000000001,0.0055000000000000005,-0.0015,-0.0015,0.0076,0.0016,-0.0034999999999999996,-0.0034000000000000002,-0.0055000000000000005,0.0025,-0.0042
2017-05-11,-0.002,-0.0025,-0.002,-0.0018,0.0,0.003,-0.0027,-0.0021,-0.0003,-0.0013,-0.0063
2017-05-10,0.0018,0.0015,0.0019,0.0016,-0.0012,0.0004,0.0021,0.0132,-0.0021,0.0038,0.0034000000000000002
2017-05-09,-0.0009,-0.0025,-0.0013,-0.0007000000000000001,-0.0001,-0.0009,-0.003,-0.0083,0.0013,0.0013,-0.0038
2017-05-08,-0.0002,-0.0075,0.0,-0.0004,-0.0054,-0.0039000000000000003,-0.0011,0.0070999999999999995,-0.0027,0.0044,-0.0008
2017-05-05,0.0039000000000000003,0.0111,0.004,0.0043,0.0009,0.0008,0.0044,0.0158,0.0051,0.0037,-0.0017000000000000001
2017-05-04,0.0012,0.0095,0.0009,0.0007000000000000001,-0.0049,-0.0038,0.0001,-0.0184,0.0011,-0.0007000000000000001,0.0017000000000000001
2017-05-03,-0.0012,-0.002,-0.001,-0.001,0.0007000000000000001,-0.0022,0.0012,0.0028000000000000004,0.0008,-0.0018,0.008
2017-05-02,0.0004,0.0052,0.0003,0.0004,0.0051,0.0,-0.0011,-0.005,0.0048,0.0022,-0.0013
2017-05-01,0.0025,0.0040999999999999995,0.0024,0.0028000000000000004,-0.0083,-0.0034000000000000002,0.0,-0.0028000000000000004,-0.003,0.0075,0.0064
2017-04-28,-0.0022,-0.0011,-0.0019,-0.0022,0.0022,0.0015,-0.0042,0.0007000000000000001,-0.004699999999999999,0.0026,-0.0097
2017-04-27,0.0008,0.0009,0.0008,0.0006,-0.0003,0.0009,-0.0018,-0.0109,-0.0003,0.0040999999999999995,-0.0046
2017-04-26,-0.0006,-0.0028000000000000004,-0.0007000000000000001,-0.0004,0.0055000000000000005,0.0021,-0.0002,-0.0033,0.0002,-0.0011,-0.0008
2017-04-25,0.0058,0.0070999999999999995,0.006,0.0059,-0.012,-0.0017000000000000001,0.006,0.0085,0.0048,0.0052,0.0089
2017-04-24,0.011000000000000001,0.0253,0.010700000000000001,0.0106,-0.0049,-0.0003,0.0111,0.0059,0.014199999999999999,0.0118,0.0225
2017-04-21,-0.0032,0.0006,-0.0029,-0.0025,0.0,-0.0014000000000000002,-0.0046,-0.005,0.0009,-0.0021,-0.0103
2017-04-20,0.008100000000000001,0.008,0.008199999999999999,0.0076,-0.0039000000000000003,-0.001,0.0077,0.0049,0.0121,0.0091,0.0169
2017-04-19,-0.0018,-0.0040999999999999995,-0.0022,-0.0017000000000000001,-0.0055000000000000005,-0.0018,-0.0031,-0.0147,0.0009,-0.0008,-0.003
2017-04-18,-0.003,-0.0045000000000000005,-0.0027,-0.003,0.0131,0.0022,-0.0039000000000000003,-0.009399999999999999,-0.0032,-0.0002,-0.009399999999999999
2017-04-17,0.0089,0.0062,0.0088,0.0087,-0.0031,-0.0023,0.0084,0.0022,0.0109,0.0092,0.0175
2017-04-13,-0.006500000000000001,-0.006500000000000001,-0.0067,-0.0066,0.0031,0.0015,-0.0086,-0.0183,-0.0070999999999999995,-0.004,-0.0129
